,OBJECTID,REPDIST,PREC,APREC,BUREAU,BASICCAR,TOOLTIP
0,1,1901,19,MISSION,VALLEY BUREAU,19A1,Bureau: VALLEY BUREAU\nDistrict: 1901\nDivision: MISSION
1,2,1705,17,DEVONSHIRE,VALLEY BUREAU,17A35,Bureau: VALLEY BUREAU\nDistrict: 1705\nDivision: DEVONSHIRE
2,3,1902,19,MISSION,VALLEY BUREAU,19A7,Bureau: VALLEY BUREAU\nDistrict: 1902\nDivision: MISSION
3,4,1903,19,MISSION,VALLEY BUREAU,19A7,Bureau: VALLEY BUREAU\nDistrict: 1903\nDivision: MISSION
4,5,1904,19,MISSION,VALLEY BUREAU,19A7,Bureau: VALLEY BUREAU\nDistrict: 1904\nDivision: MISSION
5,6,1906,19,MISSION,VALLEY BUREAU,19A7,Bureau: VALLEY BUREAU\nDistrict: 1906\nDivision: MISSION
6,7,1909,19,MISSION,VALLEY BUREAU,19A7,Bureau: VALLEY BUREAU\nDistrict: 1909\nDivision: MISSION
7,8,1912,19,MISSION,VALLEY BUREAU,19A1,Bureau: VALLEY BUREAU\nDistrict: 1912\nDivision: MISSION
8,9,1908,19,MISSION,VALLEY BUREAU,19A7,Bureau: VALLEY BUREAU\nDistrict: 1908\nDivision: MISSION
9,10,1905,19,MISSION,VALLEY BUREAU,19A7,Bureau: VALLEY BUREAU\nDistrict: 1905\nDivision: MISSION
10,11,1708,17,DEVONSHIRE,VALLEY BUREAU,17A49,Bureau: VALLEY BUREAU\nDistrict: 1708\nDivision: DEVONSHIRE
11,12,1913,19,MISSION,VALLEY BUREAU,19A1,Bureau: VALLEY BUREAU\nDistrict: 1913\nDivision: MISSION
12,13,1917,19,MISSION,VALLEY BUREAU,19A7,Bureau: VALLEY BUREAU\nDistrict: 1917\nDivision: MISSION
13,14,1907,19,MISSION,VALLEY BUREAU,19A7,Bureau: VALLEY BUREAU\nDistrict: 1907\nDivision: MISSION
14,15,1911,19,MISSION,VALLEY BUREAU,19A1,Bureau: VALLEY BUREAU\nDistrict: 1911\nDivision: MISSION
15,16,1916,19,MISSION,VALLEY BUREAU,19A7,Bureau: VALLEY BUREAU\nDistrict: 1916\nDivision: MISSION
